Height,Weight,Sex
135.67,75.47,0
152.16,69.69,0
175.17,70.73,1
179.54,64.94,1
166.90,87.86,1
181.71,85.89,1
143.75,68.40,0
145.65,48.34,0
146.47,53.41,0
144.85,71.17,0
158.77,80.93,1
183.28,73.21,1
149.47,76.71,0
149.86,43.75,0
142.25,64.26,0
174.77,75.83,1
168.92,60.85,1
146.09,81.58,0
129.07,62.75,0
157.75,67.06,0
179.77,100.86,1
166.64,75.00,1
176.85,94.72,1
177.26,75.32,1
162.92,68.25,1
134.49,70.15,0
154.64,84.86,0
157.19,59.40,0
163.08,72.81,1
153.35,71.34,0
156.75,78.53,1
176.93,58.26,1
168.36,44.60,1
160.58,76.69,1
153.54,48.62,0
173.22,60.05,0
169.35,29.48,0
169.98,54.58,1
173.67,83.75,1
159.18,63.56,1
150.21,63.15,0
145.25,57.86,0
165.26,62.84,0
144.22,40.09,0
167.08,43.74,0
151.54,64.58,0
151.00,58.31,0
169.78,92.55,1
171.48,40.97,1
170.06,64.39,1
156.45,79.48,1
178.37,89.41,1
164.60,66.90,0
156.93,72.25,0
179.43,101.72,1
148.56,88.70,1
158.22,101.08,1
146.44,48.99,0
150.67,58.18,0
141.97,33.68,0
133.53,58.18,0
156.53,58.97,1
175.22,78.74,1
170.04,64.46,1
170.48,99.23,1
167.44,63.57,1
182.78,74.66,1
153.69,44.64,0
153.16,39.00,0
153.21,51.57,0
176.83,74.99,1
173.51,81.52,1
164.56,90.58,1
152.94,76.49,1
144.32,57.76,0
161.08,57.67,0
160.09,66.63,0
152.61,52.50,0
190.99,73.92,1
174.22,81.02,1
169.95,99.77,1
175.99,86.24,1
177.47,104.04,1
177.29,65.14,1
146.52,60.22,0
148.40,52.44,0
160.24,57.51,0
166.54,69.98,1
167.28,82.38,1
177.36,66.09,1
148.54,92.81,0
125.81,76.33,0
146.15,59.21,0
142.74,74.35,0
134.98,51.96,0
164.70,63.32,1
157.07,61.64,1
161.74,76.15,1
153.11,81.39,0
167.43,55.59,0
174.61,99.74,1
168.45,96.57,1
179.37,84.29,1
178.50,90.38,1
160.86,82.68,1
139.55,70.50,0
164.10,71.74,0
135.02,67.43,0
139.03,71.68,0
138.17,48.11,0
172.69,47.27,1
151.25,85.99,1
157.14,98.12,1
154.47,65.70,0
149.21,91.41,0
173.12,58.35,0
149.27,62.62,0
154.04,54.61,0
168.04,71.90,1
176.36,95.94,1
165.27,58.08,1
184.18,63.08,1
156.65,64.97,0
148.33,65.21,0
156.70,67.25,0
200.42,92.09,1
148.56,81.62,1
165.59,33.18,1
158.91,67.66,0
156.35,57.66,0
161.06,52.13,0
159.08,70.60,0
157.87,85.82,0
178.20,71.57,1
179.05,90.25,1
175.28,57.98,1
171.21,74.94,1
176.12,69.91,1
155.43,97.98,1
155.90,61.72,1
147.82,54.45,0
134.01,65.26,0
141.45,62.94,0
131.12,62.81,0
140.01,84.12,0
150.52,74.49,0
158.61,88.82,1
163.30,104.58,1
140.79,62.45,1
176.00,98.52,1
159.88,75.61,0
175.40,76.57,1
160.34,76.06,1
190.94,55.79,1
167.89,88.86,1
177.36,73.70,1
168.78,68.27,1
171.76,90.23,1
141.40,68.61,0
137.42,53.22,0
161.96,70.54,0
165.13,55.05,1
171.13,77.79,1
158.79,66.75,0
157.47,62.17,0
155.13,51.06,0
162.11,56.35,0
157.30,58.24,0
139.14,51.78,0
175.67,71.64,1
173.34,72.93,1
145.49,43.44,0
156.48,64.00,0
146.23,81.80,0
132.76,66.20,0
142.25,83.66,0
178.77,65.28,1
165.10,47.33,1
166.56,62.39,1
163.21,87.84,1
143.55,88.00,1
141.05,66.76,0
137.27,60.20,0
161.47,67.03,1
179.57,80.47,1
177.22,63.66,1
153.93,72.61,1
160.53,63.31,0
148.88,81.01,0
164.37,71.42,0
175.62,83.99,1
178.62,80.94,1
174.33,91.15,1
180.87,75.98,1
152.29,49.65,0
151.43,62.83,0
152.28,77.08,0
154.66,48.50,0
158.65,80.30,0
139.12,57.10,0
157.23,69.38,1
155.66,68.18,0
144.51,72.26,0
147.57,64.44,0
139.96,71.00,0
143.17,81.15,0
144.28,59.36,0
169.95,81.65,1
179.40,89.32,1
178.54,75.10,1
144.06,81.77,0
137.69,60.13,0
158.60,64.21,0
156.95,80.99,1
200.45,98.51,1
167.42,63.36,1
157.52,62.54,0
158.89,65.87,0
172.14,95.25,0
148.35,70.62,1
169.72,71.49,1
153.64,70.97,1
156.82,61.65,1
171.01,100.84,1
186.56,72.53,1
154.46,43.66,0
149.23,62.44,0
159.53,52.87,0
149.31,76.89,0
150.38,54.96,0
144.03,60.84,0
172.25,55.10,0
166.83,86.57,1
146.97,74.75,1
152.16,85.93,1
146.02,43.19,0
150.02,59.61,0
162.93,88.16,1
164.99,93.50,1
182.54,91.86,1
147.14,45.38,0
167.13,56.11,1
162.45,64.92,1
181.20,22.40,1
164.56,51.84,1
175.50,64.03,1
160.82,50.22,0
154.26,70.04,0
180.82,98.12,1
174.52,93.17,1
175.03,58.02,1
182.38,74.65,1
144.68,47.65,0
157.93,47.64,0
157.05,70.48,0
149.59,61.75,0
176.79,71.89,1
163.76,75.80,1
171.10,69.22,0
126.97,67.00,0
170.17,80.69,1
160.86,58.80,1
134.74,70.74,0
162.13,59.92,0
132.10,54.17,0
134.44,25.50,0
122.50,45.81,0
137.74,64.94,0
166.30,67.96,1
154.05,68.43,0
158.69,72.18,1
163.26,60.35,1
163.23,48.66,1
164.57,92.37,1
188.35,74.13,1
173.27,80.98,1
159.88,53.42,0
165.01,62.52,0
160.78,81.59,0
147.37,48.37,0
177.71,70.76,1
164.29,63.88,1
171.62,57.53,1
183.78,79.90,1
170.37,78.66,1
153.69,67.01,0
145.97,60.17,0
137.34,60.01,0
146.90,60.19,0
166.05,58.08,0
185.04,83.90,1
138.42,56.33,0
160.21,60.27,1
176.58,91.75,1
164.82,46.78,1
142.81,60.23,0
154.99,60.83,0
155.62,53.70,0
141.28,41.34,0
124.80,55.60,0
179.55,65.47,1
170.37,80.14,1
147.09,59.40,1
175.47,92.24,1
179.51,71.78,1
184.66,71.12,1
150.00,61.61,0
153.14,56.27,0
145.27,64.31,0
146.44,39.18,0
169.23,62.52,1
149.29,54.02,0
160.70,68.59,0
169.22,62.08,1
178.54,77.47,1
153.00,71.48,1
165.70,72.21,1
138.86,77.10,0
135.57,49.18,0
158.27,68.50,1
180.53,100.69,1
148.59,96.66,1
164.62,62.73,1
171.69,65.18,1
155.38,56.20,0
163.92,68.82,0
143.58,61.51,0
163.96,64.89,0
157.96,63.22,1
150.30,68.85,0
166.37,50.55,0
170.68,84.27,1
173.55,90.62,1
145.88,64.07,0
147.93,71.29,0
147.96,43.76,0
160.24,91.12,1
185.94,70.24,1
175.12,83.00,1
182.02,67.00,1
172.24,86.04,1
165.88,69.86,1
136.21,76.65,0
148.08,49.96,0
159.90,46.36,0
176.97,81.72,1
169.88,87.50,1
180.63,92.13,1
169.99,64.93,1
166.02,51.23,0
146.32,64.31,0
163.08,115.18,1
179.05,71.73,1
154.43,72.23,0
151.30,68.12,0
153.41,46.39,0
154.97,70.42,0
144.32,42.22,0
163.65,91.44,1
174.61,62.65,1
172.60,107.18,1
157.52,49.18,1
133.11,47.90,0
126.64,62.60,0
140.07,57.88,0
174.88,73.12,1
161.43,60.27,0
190.23,75.10,1
177.11,80.56,1
170.65,47.03,1
151.32,59.83,0
162.43,92.97,1
173.52,66.44,1
146.89,45.56,0
147.41,78.43,0
164.81,90.42,1
161.95,55.73,0
177.41,76.17,1
174.52,85.34,1
163.66,71.15,1
181.62,73.81,1
153.47,64.68,0
154.53,80.57,0
157.17,53.26,0
131.38,68.44,0
161.07,31.75,0
167.87,69.69,1
173.34,59.42,1
173.28,98.70,1
165.68,46.30,1
153.33,73.61,1
151.58,38.47,0
171.97,42.83,0
134.92,39.84,0
150.80,71.50,0
132.54,60.02,0
160.86,93.33,1
171.87,101.19,1
142.30,60.44,0
164.88,50.62,0
167.53,45.83,0
126.23,54.74,0
169.76,57.93,1
170.41,95.04,1
173.60,66.58,1
148.70,66.33,0
141.16,68.23,0
140.48,45.18,0
168.46,37.38,0
155.98,74.85,1
135.67,59.73,0
138.57,66.35,0
161.53,58.20,0
164.95,59.01,1
134.36,63.06,0
152.38,50.98,0
189.78,65.00,1
182.59,69.32,1
172.70,80.48,1
146.70,87.72,1
154.77,73.45,1
151.98,78.55,0
144.22,77.71,0
131.81,68.16,0
174.60,55.84,1
176.06,60.20,1
177.54,87.38,1
161.42,67.31,0
163.98,60.56,0
151.45,71.60,0
166.56,91.67,0
164.23,47.14,0
131.93,71.16,0
179.46,91.73,1
174.11,75.87,1
161.52,101.57,1
154.74,64.53,0
147.49,51.36,0
154.20,73.94,0
192.72,61.43,1
183.98,87.37,1
172.40,69.83,1
183.34,62.63,1
166.79,102.45,1
174.91,69.23,1
145.86,43.67,0
160.13,65.90,0
170.25,81.59,1
158.07,88.20,1
186.20,71.22,1
179.16,89.29,1
168.69,84.00,0
134.61,71.45,0
169.49,65.55,0
160.21,90.34,0
159.30,75.94,1
176.63,92.94,1
172.77,76.16,1
132.89,88.32,0
141.82,60.46,0
150.01,73.75,0
171.60,72.51,0
155.12,71.19,0
151.28,62.58,0
164.60,72.10,1
157.03,50.46,0
124.91,75.96,0
144.02,76.88,0
175.61,81.23,1
181.14,83.77,1
190.65,42.22,1
195.93,83.22,1
167.02,78.84,1
148.60,68.19,0
133.25,70.23,0
140.72,59.40,0
178.80,68.24,1
198.57,65.99,1
166.09,80.55,1
174.26,90.37,1
173.85,74.65,1
157.48,62.53,0
147.33,59.92,0
163.50,71.14,1
177.37,101.32,1
155.81,98.82,1
136.76,75.84,0
140.89,72.76,0
161.79,47.18,0
166.94,51.87,0
138.65,44.33,0
147.00,60.43,0
121.75,50.61,0
176.91,48.75,1
147.31,51.34,0
140.68,52.76,0
153.94,61.44,0
177.71,92.83,1
162.39,86.02,1
173.68,52.16,1
164.48,61.84,1
171.00,58.34,1
130.13,69.34,0
143.26,47.53,0
154.87,61.88,0
166.10,60.15,0
171.18,100.80,1
170.16,85.54,1
165.23,107.34,1
160.85,92.69,1
144.55,46.61,0
142.43,47.02,0
139.90,61.12,0
177.43,74.79,0
177.56,102.18,1
180.87,61.17,1
161.46,71.89,1
148.55,72.56,0
153.92,52.42,0
172.06,53.22,1
138.06,66.99,0
133.16,66.54,0
168.64,57.37,1
175.89,58.92,1
173.50,53.69,1
150.12,53.73,0
142.66,67.18,0
157.56,72.80,1
173.68,60.49,1
171.20,57.19,1
168.10,67.26,0
157.05,78.64,0
141.93,52.43,0
130.47,58.36,0
154.09,95.19,1
156.01,58.80,1
152.75,63.42,0
166.30,40.60,0
156.71,79.21,1
157.59,83.35,1
164.67,65.84,1
161.81,107.86,1
169.53,76.65,1
160.07,92.95,1
163.90,94.31,1
169.66,84.91,1
143.11,66.50,0
152.13,91.14,0
150.48,42.84,0
129.27,62.56,0
184.96,76.42,1
133.28,58.86,0
143.31,55.55,0
158.40,59.91,0
147.23,62.32,0
146.34,66.85,0
182.59,73.82,1
158.51,88.80,1
150.88,57.51,0
148.83,64.80,0
141.97,45.79,0
183.26,65.49,1
165.14,72.21,1
173.24,62.20,1
147.77,58.55,0
140.66,61.48,0
146.38,72.48,0
159.41,92.46,1
173.01,70.89,1
154.76,71.94,1
167.90,90.43,1
195.43,54.14,1
141.67,53.84,0
153.08,68.79,0
170.64,40.04,0
163.70,81.28,1
173.91,74.05,1
169.88,55.65,1
166.64,76.18,1
176.55,62.91,1
170.74,73.57,1
133.99,76.03,0
148.75,64.81,0
157.90,55.95,0
138.25,85.08,0
168.93,91.94,1
170.88,77.04,1
182.72,37.86,1
170.45,50.43,0
136.33,61.30,0
159.97,61.43,0
138.63,46.62,0
145.42,77.48,0
196.92,73.52,1
185.12,85.64,1
155.79,95.75,1
164.55,75.11,0
127.66,69.19,0
152.70,82.01,0
165.81,73.90,0
165.23,93.13,1
156.36,59.87,0
147.69,50.67,0
175.14,62.09,1
179.75,82.28,1
155.58,66.76,0
160.52,57.69,0
165.23,84.89,1
154.24,95.82,1
168.56,89.04,1
155.78,62.58,0
148.62,56.00,0
177.58,100.98,1
169.50,74.49,1
166.73,65.60,0
156.61,50.45,0
150.13,45.93,0
163.03,60.35,1
185.51,69.54,1
157.28,66.61,0
135.63,69.24,0
170.41,59.26,1
175.55,75.15,1
162.34,92.47,1
142.41,83.04,0
149.58,58.35,0
178.31,75.60,0
176.10,58.03,1
176.99,96.46,1
149.90,72.59,0
151.82,66.71,0
160.27,63.81,1
173.36,111.46,1
153.41,92.82,0
132.54,82.20,0
138.41,82.64,0
152.80,74.06,0
153.19,66.45,0
165.61,62.75,1
166.02,57.89,1
144.66,74.64,0
154.89,53.13,1
138.79,73.70,0
147.17,44.40,0
139.98,72.07,0
168.94,65.94,1
185.76,59.77,1
181.77,76.22,1
145.38,43.23,0
138.00,56.05,0
148.52,71.46,0
136.94,63.82,0
155.51,52.66,0
163.52,98.60,1
165.05,67.55,1
151.44,67.02,0
160.65,61.94,1
165.91,71.32,1
192.09,77.12,1
167.44,96.51,1
155.00,38.47,0
131.55,81.07,0
143.11,68.33,0
136.36,53.33,0
164.99,95.60,1
165.37,75.82,1
176.60,73.92,1
190.42,61.75,1
172.78,80.29,1
156.90,93.70,1
152.30,60.04,0
154.27,59.91,0
135.47,63.38,0
146.14,44.75,0
146.45,52.48,0
186.19,88.46,1
176.30,76.05,1
164.60,61.13,1
150.65,64.01,1
154.76,59.05,0
141.44,58.50,0
165.40,72.16,0
146.93,61.71,0
153.12,59.95,0
139.67,88.07,0
161.37,67.24,1
186.81,76.12,1
172.54,95.96,1
186.45,72.12,1
161.45,64.82,0
171.08,103.63,1
158.36,49.88,1
174.39,76.60,1
168.88,77.36,1
142.50,52.33,0
144.94,66.88,0
161.99,47.60,0
149.57,58.53,0
184.19,56.60,1
154.80,88.64,1
171.55,107.01,1
139.15,79.05,0
136.97,61.66,0
137.43,68.45,0
172.55,63.26,1
160.99,83.19,1
185.31,42.54,1
175.49,54.70,1
164.33,67.53,1
115.94,74.86,0
143.59,44.33,0
173.29,86.39,1
170.73,38.61,1
166.78,65.07,1
170.31,91.63,1
152.99,52.20,0
146.73,36.78,0
151.30,50.59,0
157.45,58.71,0
169.03,47.67,1
164.48,79.26,1
170.97,83.98,1
170.38,67.19,1
176.37,53.91,1
175.97,65.40,0
148.76,58.97,0
162.47,48.24,0
147.87,76.61,0
158.31,50.54,0
189.83,97.51,1
182.74,79.43,1
153.97,40.04,0
178.98,90.59,1
167.24,81.14,1
169.17,89.97,1
170.19,66.54,1
161.83,76.71,0
158.23,66.27,0
153.68,79.72,0
135.70,59.54,0
179.88,76.72,1
162.83,79.34,1
190.08,78.25,1
166.33,60.40,1
153.75,39.29,0
153.16,35.72,0
129.48,55.69,0
136.89,59.48,0
142.06,60.65,0
144.00,61.69,0
191.22,107.33,1
171.17,74.57,1
166.14,83.96,1
153.37,77.94,0
144.97,65.45,0
130.59,56.75,0
168.59,91.54,1
170.08,81.62,1
161.04,102.70,1
143.02,56.25,0
154.70,54.05,0
151.30,75.07,0
160.40,44.63,0
162.33,44.66,1
163.72,66.02,1
186.24,83.87,1
160.90,107.24,1
194.12,62.71,1
148.20,53.85,0
144.52,63.54,0
164.36,79.95,0
151.77,53.05,0
175.41,63.02,1
171.64,52.37,1
186.57,52.71,1
172.06,60.83,1
135.23,56.52,0
156.31,51.61,0
176.33,49.43,0
156.10,66.25,1
173.90,76.01,1
158.94,81.61,1
147.41,61.91,0
150.52,59.49,0
168.62,82.83,1
173.12,78.02,1
145.94,55.83,0
157.96,56.74,0
150.77,51.14,0
152.26,61.60,0
149.69,55.30,0
153.66,76.01,0
163.33,63.26,0
155.20,63.69,0
152.98,85.11,0
157.16,59.08,0
153.83,39.29,0
159.67,55.78,0
151.37,58.45,0
152.78,61.60,0
149.86,71.70,0
171.64,67.38,1
171.60,89.63,1
167.81,71.16,1
157.41,75.03,1
174.86,35.64,1
150.08,57.51,0
172.46,79.90,1
178.35,71.66,1
160.99,78.77,1
168.22,87.75,1
172.27,95.49,1
156.51,59.47,1
193.03,55.75,1
168.94,64.92,0
141.32,57.40,0
166.25,77.28,1
185.23,48.79,1
134.78,66.86,0
158.57,52.22,0
159.83,69.86,0
145.36,56.85,0
146.89,75.39,0
157.46,79.06,1
174.27,85.69,1
172.55,90.72,1
152.02,56.25,0
170.83,63.47,0
163.25,46.81,0
161.54,89.86,1
185.05,76.95,1
144.51,58.50,0
143.11,68.92,0
150.52,62.86,0
176.69,84.85,1
151.97,98.40,1
165.39,101.03,1
169.32,47.43,1
129.04,78.03,0
160.95,75.90,0
154.64,79.92,1
154.55,85.72,0
125.27,75.05,0
141.54,49.79,0
162.50,39.29,0
133.99,68.01,0
141.73,40.46,0
173.44,95.32,1
194.23,57.07,1
153.99,63.46,0
157.14,70.24,0
188.02,70.28,1
163.21,69.20,1
189.08,60.31,1
152.59,80.71,0
159.62,67.48,0
143.25,64.36,0
167.63,81.05,0
159.51,102.62,1
156.89,78.02,1
155.68,87.51,1
147.18,69.32,0
139.85,79.40,0
172.45,75.81,1
167.19,66.76,1
160.29,79.32,1
167.70,59.64,0
159.31,69.47,0
147.56,44.20,0
173.35,58.26,1
171.98,61.03,0
149.66,63.18,0
143.05,56.83,0
158.77,69.42,1
180.92,73.04,1
179.12,41.24,1
151.33,50.93,0
173.93,65.32,0
153.73,46.52,0
170.33,64.48,1
184.69,82.08,1
178.03,75.52,1
165.57,65.12,0
146.15,73.85,0
146.44,48.92,0
168.22,51.34,0
169.97,86.57,1
161.38,87.24,1
143.11,74.01,0
151.03,50.18,0
159.89,65.86,0
167.54,62.77,1
191.73,64.60,1
162.53,58.50,0
167.74,60.71,0
160.88,77.80,0
127.30,49.13,0
169.50,63.47,1
164.72,53.13,1
152.62,53.17,0
141.75,65.41,0
175.31,54.45,0
175.09,71.39,1
164.73,64.46,0
145.06,67.56,0
148.21,50.97,0
166.39,121.98,1
170.01,61.17,1
177.82,52.37,1
155.21,63.03,1
163.24,60.13,1
147.23,80.20,0
151.11,42.27,0
128.89,60.18,0
152.34,50.74,0
184.09,92.51,1
172.38,78.80,1
168.75,91.74,1
170.40,83.71,1
142.56,52.48,0
164.21,62.54,0
157.52,45.13,0
167.58,79.42,0
150.38,49.15,0
187.92,75.85,1
187.83,102.41,1
140.69,58.12,0
167.64,52.05,0
142.32,55.19,0
188.07,77.35,1
178.93,70.57,1
172.72,35.32,1
184.71,84.39,1
155.17,89.21,1
187.90,88.32,1
154.21,41.44,0
157.24,58.14,0
143.63,37.77,0
139.79,61.68,0
137.93,75.13,0
165.90,62.56,0
165.34,65.93,1
156.86,61.34,0
167.77,85.94,1
166.74,40.36,1
159.20,52.71,1
173.33,64.14,1
177.14,73.40,1
175.91,48.81,1
149.14,63.59,0
157.12,69.36,0
157.70,48.85,0
153.33,66.82,0
169.91,67.55,1
166.22,76.68,1
171.77,71.52,1
152.02,45.92,0
157.87,46.52,0
182.65,79.41,1
161.87,71.16,1
161.00,73.67,1
175.25,88.10,1
183.09,85.60,1
193.80,59.01,1
155.76,71.53,0
192.23,69.69,1
157.75,57.92,0
152.69,50.98,0
143.46,45.75,0
170.22,49.09,1
185.54,64.78,1
169.59,59.31,0
170.50,52.00,0
179.79,70.01,1
179.02,96.50,1
171.82,84.93,1
142.69,63.84,0
175.17,82.76,1
164.39,54.68,1
171.39,96.39,1
175.92,82.46,1
179.06,62.35,1
171.63,102.02,1
152.96,50.49,0
147.51,58.10,0
175.29,86.34,1
184.23,88.52,1
161.87,80.03,0
151.35,35.47,0
156.15,48.41,0
146.89,42.76,0
151.32,57.22,0
139.66,48.29,0
178.04,67.51,1
146.88,78.39,1
164.81,89.24,1
183.62,78.57,1
184.12,91.90,1
143.67,79.15,0
172.00,54.68,0
161.78,56.91,0
154.76,64.01,0
159.35,47.31,0
162.55,71.29,1
188.97,73.52,1
182.80,109.88,1
184.56,37.57,1
146.34,59.44,0
143.39,69.27,0
156.10,48.33,0
157.87,50.89,0
164.89,59.26,0
151.89,43.19,0
158.67,60.30,1
192.91,76.13,1
167.96,78.21,1
143.79,60.21,0
167.58,108.83,1
171.51,89.66,1
160.82,70.01,1
175.32,92.43,1
156.76,70.03,1
171.73,52.17,1
155.54,72.82,0
164.60,73.30,0
179.52,68.29,1
185.34,56.26,1
173.93,83.22,1
168.92,68.24,1
147.89,69.50,0
156.77,47.79,0
150.56,49.66,0
169.54,74.02,0
146.66,63.90,0
160.65,24.14,1
164.89,106.55,1
157.74,95.91,1
147.84,70.85,1
166.08,80.18,1
160.73,97.77,1
179.78,115.05,1
152.52,85.35,0
145.73,59.41,0
145.99,65.87,0
176.04,73.03,1
160.65,64.16,1
174.69,89.17,1
160.02,89.58,1
188.66,66.89,1
167.48,45.69,0
153.23,55.09,0
160.12,62.97,1
143.81,73.38,1
168.33,94.33,1
166.49,76.26,1
117.23,70.28,0
155.56,72.59,0
153.75,68.66,0
136.80,51.98,0
173.54,95.08,1
169.80,85.90,1
161.77,58.85,0
142.41,56.22,0
166.62,82.80,0
160.62,70.77,0
168.61,38.38,1
175.11,81.72,1
167.98,89.93,1
172.80,79.67,1
164.20,75.25,1
171.20,42.74,0
150.91,63.90,0
163.73,80.91,1
174.34,93.84,1
153.14,69.41,0
163.31,61.12,0
127.83,61.19,0
183.43,72.05,1
165.99,74.58,1
168.06,83.85,1
175.72,63.38,0
154.84,58.80,0
134.39,63.09,0
121.82,60.41,0
172.55,85.25,1
176.29,85.75,1
168.03,84.89,1
165.61,71.60,1
167.32,60.76,0
150.93,78.47,0
145.74,56.78,0
167.34,61.35,1
180.08,71.44,1
173.09,83.57,1
171.33,66.13,1
164.28,50.62,0
195.00,78.64,1
158.25,72.62,1
184.62,68.20,1
179.91,57.93,1
153.14,59.62,0
158.25,87.68,1
179.08,97.79,1
185.37,96.05,1
168.71,49.19,1
164.33,62.71,1
149.63,78.91,0
137.23,71.39,0
149.29,72.10,0
179.37,70.36,1
167.13,64.58,1
193.76,61.90,1
170.38,85.50,1
174.04,60.91,1
160.04,56.86,1
135.70,76.76,0
160.17,63.73,1
177.90,91.02,1
178.14,84.07,1
156.06,75.74,1
162.16,61.80,0
137.82,79.34,0
149.29,65.29,0
155.72,48.28,0
144.44,59.99,0
153.08,60.59,0
151.99,72.22,0
137.32,52.70,0
168.99,88.59,1
174.30,65.52,1
137.65,63.39,0
153.29,52.46,0
138.18,68.91,0
143.87,65.82,1
159.49,74.99,1
169.98,75.98,1
155.01,50.65,0
149.60,76.38,0
167.15,76.77,1
182.59,70.55,1
175.63,75.14,1
156.38,47.72,1
153.97,75.77,0
163.36,51.67,1
166.50,54.24,1
141.65,80.99,1
166.84,47.71,1
131.00,51.53,0
147.04,47.17,0
149.09,73.99,0
174.12,85.09,1
159.35,66.25,0
153.17,67.96,0
177.24,73.04,1
182.22,44.16,1
186.85,91.68,1
163.15,73.22,1
145.34,81.95,0
178.42,87.06,1
171.39,74.92,1
147.92,72.56,0
135.55,67.98,0
169.93,53.93,0
141.19,70.14,0
137.00,45.14,0
129.84,46.96,0
150.15,30.53,1
190.04,49.03,1
174.43,96.62,1
181.21,59.55,1
25.68,58.99,0
146.00,70.78,0
155.06,52.71,0
177.15,73.29,1
181.53,60.14,1
161.67,73.97,1
155.23,85.44,1
182.88,106.44,1
147.86,51.29,0
154.49,65.46,0
150.04,85.21,1
155.54,73.50,0
